incident_id,url,date_submitted,source_domain
0,https://www.theatlantic.com/technology/archive/2024/10/muah-ai-hack-child-abuse/680300/,2024-10-18,theatlantic.com
0,https://www.clarin.com/sociedad/inedita-resolucion-chico-18-ia-creo-fotos-porno-falsas-20-alumnas_0_bmRkR0FTw8.html,2024-10-19,clarin.com
0,https://www.foxnews.com/us/massachusetts-parents-sue-school-district-student-d-ai-social-studies-project,2024-10-19,foxnews.com
0,https://www.bbc.com/news/articles/c7v62gg49zro.amp?amp_js_v=0.1&amp_gsa=1#webview=1,2024-10-21,bbc.com
0,https://www.bloomberg.com/news/features/2024-10-18/do-ai-detectors-work-students-face-false-cheating-accusations,2024-10-21,bloomberg.com
0,https://www.foxnews.com/entertainment/wicked-star-ariana-grande-finds-ai-troublesome-after-fan-edited-posters-cause-controversy,2024-10-22,foxnews.com
0,https://www.dailydot.com/debug/character-ai-george-floyd-chatbot/,2024-10-24,dailydot.com
0,https://www.uoc.edu/en/news/2024/deadbots-and-regulation-an-ethical-and-legal-matter-that-demands-discussion,2024-10-24,uoc.edu
0,https://www.nbcnews.com/tech/actors-artists-authors-open-letter-ai-copyright-rcna176681,2024-10-24,nbcnews.com
0,https://digg.com/insider/link/scammers-use-ai-fraud-to-steal-homes,2024-10-28,digg.com
0,https://ksltv.com/698446/new-ai-generated-scam-uses-salt-lake-city-chiefs-voice-image/,2024-10-28,ksltv.com
0,https://arstechnica.com/tech-policy/2024/10/ai-scam-cloned-police-chiefs-voice-spurring-alarm-from-cops/,2024-10-28,arstechnica.com
0,https://www.wired.com/story/ai-generated-medium-posts-content-moderation/,2024-10-28,wired.com
0,https://www.businessinsider.com/chanel-ceo-describes-chatgpt-fail-visiting-microsoft-2024-10,2024-10-29,businessinsider.com
0,https://www.proofnews.org/ai-models-falter-answering-election-questions-in-spanish/,2024-10-30,proofnews.org
0,https://originality.ai/blog/analysis-airline-ai-fake-reviews,2024-10-31,originality.ai
0,https://www.wweek.com/news/2024/10/30/machine-learning-offers-a-water-bill-discount-to-wealthy-portlander/,2024-10-31,wweek.com
0,https://www.wweek.com/news/2024/10/30/machine-learning-offers-a-water-bill-discount-to-wealthy-portlander/,2024-10-31,wweek.com
0,https://www.washingtonpost.com/technology/2024/11/01/russia-us-election-meddling-disinformation/,2024-11-01,washingtonpost.com
0,https://www.irishtimes.com/ireland/dublin/2024/10/31/thousands-gather-on-dublins-oconnell-street-for-hoax-halloween-parade-that-did-not-take-place/,2024-11-02,irishtimes.com
0,https://www.rte.ie/news/regional/2024/1101/1478578-hoax-parade-dublin/,2024-11-02,rte.ie
0,https://www.bloomberg.com/news/articles/2024-10-30/ai-powered-gun-scanners-draw-investors-who-fear-school-violence,2024-11-02,bloomberg.com
0,https://www.nytimes.com/2024/11/03/world/europe/poland-radio-station-ai.html,2024-11-03,nytimes.com
0,https://www.washingtonpost.com/technology/2024/11/03/tiktok-politics-gender-election/,2024-11-03,washingtonpost.com
0,https://www.france24.com/en/france/20241104-parents-of-french-teenagers-who-took-own-lives-sue-tiktok-over-harmful-content,2024-11-04,france24.com
0,https://www.bleepingcomputer.com/news/security/chatgpt-4o-can-be-used-for-autonomous-voice-based-scams/,2024-11-04,bleepingcomputer.com
0,https://www.bloomberg.com/news/articles/2024-11-04/instagram-plans-to-use-ai-to-catch-teens-lying-about-age,2024-11-04,bloomberg.com
0,https://factcheck.afp.com/doc.afp.com.36LE786,2024-11-04,factcheck.afp.com
0,https://uk.news.yahoo.com/fabricated-cnn-election-broadcast-spreads-212447918.html,2024-11-04,uk.news.yahoo.com
0,https://electrek.co/2024/11/04/tesla-updated-its-summon-feature-now-this-owner-cant-get-to-his-car/,2024-11-05,electrek.co
0,https://www.washingtonpost.com/technology/2024/11/04/martin-luther-king-jr-trump-deepfake/,2024-11-05,washingtonpost.com
0,https://www.dw.com/en/2024-us-election-ai-driven-social-media-bots-donald-trump-supporters/a-70695526,2024-11-05,dw.com
0,https://www.foxnews.com/us/parents-warned-disturbing-kidnapping-scheme-using-kids-voice-replicas,2024-11-10,foxnews.com
0,https://www.aisnakeoil.com/p/does-the-uks-liver-transplant-matching,2024-11-12,aisnakeoil.com
0,https://www.npr.org/2024/11/12/nx-s1-5171322/googles-ai-overview-has-no-opt-out-thats-making-some-people-unhappy,2024-11-12,npr.org
0,https://futurism.com/the-byte/russian-hackers-deepfake-nudify-ai-sites,2024-11-13,futurism.com
0,https://www.news.com.au/technology/motoring/on-the-road/scary-womans-driverless-taxi-blocked-by-men-demanding-her-number/news-story/d8200d9be5f416a13cb24ac0a45dfa03,2024-11-15,news.com.au
0,https://www.cbsnews.com/news/google-ai-chatbot-threatening-message-human-please-die/,2024-11-15,cbsnews.com
0,https://www.hindustantimes.com/trending/googles-ai-chatbot-gemini-verbally-abuses-student-tells-him-please-die-report-101731718768114.html,2024-11-15,hindustantimes.com
0,https://www.wsj.com/politics/national-security/t-mobile-hacked-in-massive-chinese-breach-of-telecom-networks-4b2d7f92?mod=mhp,2024-11-16,wsj.com
0,https://www.theatlantic.com/technology/archive/2024/11/apple-intelligence-text-messages/680717/,2024-11-20,theatlantic.com
0,https://www.wired.com/story/new-york-times-openai-erased-potential-lawsuit-evidence/,2024-11-21,wired.com
0,https://minnesotareformer.com/2024/11/20/misinformation-expert-cites-non-existent-sources-in-minnesota-deep-fake-case/,2024-11-21,minnesotareformer.com
0,https://interbank.pe/,2024-11-23,interbank.pe
0,https://economictimes.indiatimes.com/news/international/global-trends/come-home-with-me-tiny-robot-has-emotional-conversation-with-12-bigger-robots-before-kidnapping-them/articleshow/115547737.cms?from=mdr,2024-11-24,economictimes.indiatimes.com
